Region,Product,Units,UnitPrice,Revenue
Central,Widget B,16,26.01,416.16
South,Widget D,91,20.22,1840.02
East,Widget B,77,32.33,2489.41
East,Widget A,27,17.12,462.24
West,Widget C,6,29.51,177.06
East,Widget D,75,12.95,971.25
South,Widget A,6,46.87,281.22
North,Gadget X,37,15.61,577.57
East,Gadget X,22,45.67,1004.74
South,Widget D,7,28.34,198.38
Central,Widget C,50,23.84,1192.0
West,Gadget X,1,46.06,46.06
North,Widget A,29,14.21,412.09
North,Widget C,30,26.75,802.5
East,Widget A,86,21.92,1885.12
South,Widget A,93,11.7,1088.1
South,Widget A,6,19.8,118.8
West,Widget D,57,21.08,1201.56
Central,Widget C,41,18.98,778.18
North,Widget A,39,39.52,1541.28
West,Gadget X,86,36.49,3138.14
East,Widget B,82,11.32,928.24
North,Widget D,26,20.32,528.32
South,Gadget X,83,14.04,1165.32
South,Gadget X,16,20.39,326.24
South,Widget A,11,16.35,179.85
East,Gadget X,45,26.83,1207.35
East,Widget B,9,10.6,95.4
West,Gadget X,44,37.44,1647.36
South,Gadget X,2,20.44,40.88
East,Gadget X,89,46.58,4145.62
South,Widget A,100,47.28,4728.0
East,Gadget X,18,32.48,584.64
Central,Widget C,52,35.78,1860.56
West,Widget A,21,42.86,900.06
Central,Widget D,66,20.05,1323.3
Central,Widget D,61,42.61,2599.21
West,Widget A,85,19.1,1623.5
North,Widget C,88,35.39,3114.32
Central,Widget D,52,14.58,758.16
Central,Widget C,63,10.18,641.34
South,Widget D,65,49.47,3215.55
Central,Widget D,27,33.63,908.01
North,Widget C,22,44.67,982.74
North,Widget B,66,33.5,2211.0
South,Widget A,43,48.28,2076.04
South,Widget B,81,18.46,1495.26
South,Widget B,29,24.15,700.35
East,Gadget X,47,18.63,875.61
East,Widget A,77,25.16,1937.32
North,Widget B,29,37.08,1075.32
South,Widget D,68,34.37,2337.16
East,Widget A,9,37.82,340.38
West,Widget D,48,27.59,1324.32
North,Widget C,91,48.17,4383.47
East,Widget C,31,19.7,610.7
West,Widget D,64,31.8,2035.2
West,Gadget X,44,36.13,1589.72
East,Widget D,44,35.6,1566.4
Central,Widget A,54,49.9,2694.6
West,Widget B,77,20.44,1573.88
South,Widget B,2,31.71,63.42
West,Widget D,99,46.77,4630.23
East,Widget B,79,21.09,1666.11
Central,Widget C,4,13.95,55.8
Central,Widget C,14,46.7,653.8
North,Widget D,98,33.35,3268.3
South,Widget D,77,23.79,1831.83
North,Widget D,36,46.59,1677.24
Central,Widget A,72,24.42,1758.24
North,Widget C,85,20.79,1767.15
North,Widget C,45,23.62,1062.9
South,Widget D,25,46.8,1170.0
West,Gadget X,80,30.71,2456.8
East,Widget A,64,14.71,941.44
East,Widget A,6,17.28,103.68
North,Widget B,98,12.53,1227.94
West,Widget D,95,39.86,3786.7
West,Gadget X,52,33.81,1758.12
Central,Widget A,5,29.39,146.95
Central,Widget D,27,11.82,319.14
North,Widget B,15,31.63,474.45
South,Widget B,32,29.97,959.04
West,Gadget X,89,11.89,1058.21
Central,Widget C,47,21.66,1018.02
South,Gadget X,90,16.14,1452.6
Central,Widget D,77,25.94,1997.38
North,Gadget X,70,24.63,1724.1
West,Widget A,11,49.28,542.08
West,Gadget X,4,42.68,170.72
East,Widget C,20,17.06,341.2
South,Gadget X,28,37.97,1063.16
East,Gadget X,8,37.57,300.56
West,Widget B,8,10.4,83.2
Central,Widget C,54,18.84,1017.36
East,Gadget X,28,46.08,1290.24
North,Widget B,39,27.27,1063.53
South,Widget A,84,19.51,1638.84
Central,Gadget X,25,28.4,710.0
Central,Widget A,92,30.11,2770.12
Central,Widget B,59,29.74,1754.66
West,Gadget X,70,29.43,2060.1
North,Widget B,22,11.56,254.32
West,Widget B,28,15.1,422.8
East,Widget B,6,39.62,237.72
West,Widget D,62,30.13,1868.06
East,Widget D,71,43.36,3078.56
Central,Widget D,42,23.41,983.22
West,Widget A,34,21.15,719.1
North,Gadget X,84,38.05,3196.2
Central,Widget B,70,26.37,1845.9
East,Widget C,61,35.08,2139.88
West,Widget A,22,42.29,930.38
East,Widget D,37,17.19,636.03
Central,Gadget X,21,23.05,484.05
Central,Gadget X,93,28.8,2678.4
North,Widget C,69,45.01,3105.69
South,Widget D,100,19.68,1968.0
South,Widget A,6,42.74,256.44
East,Widget C,48,43.66,2095.68
West,Widget B,1,19.32,19.32
Central,Widget B,17,44.94,763.98
North,Widget D,80,13.49,1079.2
West,Widget B,52,16.63,864.76
South,Widget C,89,33.23,2957.47
West,Widget C,78,27.95,2180.1
South,Widget D,4,43.1,172.4
North,Widget B,94,42.29,3975.26
North,Gadget X,51,10.47,533.97
North,Widget A,55,26.49,1456.95
South,Gadget X,27,35.26,952.02
North,Widget A,29,11.56,335.24
North,Widget C,34,23.42,796.28
North,Widget D,21,15.75,330.75
Central,Widget D,86,20.06,1725.16
North,Widget D,39,34.13,1331.07
Central,Widget D,69,24.67,1702.23
Central,Widget B,54,42.96,2319.84
South,Widget B,27,16.02,432.54
Central,Widget B,27,26.56,717.12
South,Widget B,67,34.75,2328.25
Central,Widget C,82,40.49,3320.18
North,Gadget X,67,28.93,1938.31
West,Widget A,1,39.12,39.12
South,Widget C,91,11.95,1087.45
South,Widget D,61,13.04,795.44
South,Widget B,52,46.01,2392.52
Central,Widget A,88,37.7,3317.6
Central,Widget A,27,44.14,1191.78
East,Widget C,40,26.41,1056.4
North,Widget D,22,36.69,807.18
South,Widget B,51,31.68,1615.68
South,Widget B,69,41.28,2848.32
South,Widget C,33,44.16,1457.28
South,Gadget X,67,12.74,853.58
East,Widget B,45,24.34,1095.3
North,Gadget X,28,12.14,339.92
North,Widget D,1,14.07,14.07
East,Widget B,98,40.43,3962.14
South,Widget A,78,30.01,2340.78
East,Widget B,5,22.61,113.05
Central,Widget D,55,34.83,1915.65
East,Gadget X,29,46.11,1337.19
West,Gadget X,52,18.38,955.76
East,Widget A,66,27.94,1844.04
Central,Widget A,35,22.32,781.2
East,Widget D,26,31.56,820.56
West,Widget D,70,17.16,1201.2
East,Widget D,4,29.08,116.32
East,Widget B,23,21.98,505.54
Central,Widget D,51,20.74,1057.74
East,Gadget X,30,43.19,1295.7
West,Widget B,40,42.74,1709.6
Central,Widget A,23,47.94,1102.62
Central,Widget C,76,31.96,2428.96
North,Widget B,46,39.59,1821.14
Central,Widget D,42,18.84,791.28
West,Widget C,42,26.55,1115.1
South,Widget C,39,20.43,796.77
Central,Gadget X,51,13.85,706.35
South,Widget A,3,39.07,117.21
North,Widget D,90,44.94,4044.6
East,Widget D,75,31.13,2334.75
East,Widget B,34,29.35,997.9
Central,Widget B,34,24.87,845.58
Central,Widget B,83,21.75,1805.25
West,Widget C,34,37.06,1260.04
Central,Widget B,65,35.61,2314.65
West,Widget D,66,29.66,1957.56
West,Widget D,88,22.77,2003.76
Central,Widget C,56,37.94,2124.64
North,Widget C,17,45.37,771.29
West,Widget D,80,40.64,3251.2
North,Widget D,29,40.83,1184.07
South,Widget B,97,49.16,4768.52
South,Widget D,95,15.05,1429.75
North,Widget C,100,34.68,3468.0
West,Gadget X,98,22.24,2179.52
North,Widget B,17,41.53,706.01
West,Widget B,92,11.81,1086.52
North,Widget B,69,46.26,3191.94
West,Widget A,20,20.5,410.0
Central,Widget C,90,27.16,2444.4
West,Gadget X,100,33.33,3333.0
Central,Widget A,38,40.4,1535.2
Central,Widget A,52,38.98,2026.96
East,Widget C,27,38.35,1035.45
East,Widget C,4,42.52,170.08
East,Widget B,51,23.11,1178.61
South,Widget C,64,15.81,1011.84
West,Widget B,83,29.61,2457.63
South,Widget B,67,27.28,1827.76
North,Widget A,27,26.47,714.69
East,Gadget X,49,47.85,2344.65
Central,Widget A,98,44.68,4378.64
North,Widget B,100,10.76,1076.0
South,Widget D,13,29.66,385.58
West,Widget C,33,48.58,1603.14
North,Widget B,43,38.11,1638.73
South,Widget D,88,11.1,976.8
North,Widget D,27,27.62,745.74
West,Widget A,81,16.62,1346.22
South,Widget C,98,49.35,4836.3
West,Widget D,69,21.16,1460.04
East,Widget A,47,13.19,619.93
West,Widget B,85,19.31,1641.35
West,Widget B,10,35.17,351.7
North,Gadget X,69,41.2,2842.8
South,Widget D,80,39.76,3180.8
South,Gadget X,99,26.72,2645.28
North,Widget D,48,38.57,1851.36
North,Gadget X,31,48.03,1488.93
East,Widget A,18,26.07,469.26
East,Widget D,90,18.93,1703.7
West,Widget D,36,10.93,393.48
West,Widget B,75,43.27,3245.25
South,Widget B,98,24.32,2383.36
East,Gadget X,49,28.61,1401.89
East,Widget D,6,24.18,145.08
South,Widget A,26,25.46,661.96
West,Widget C,92,29.84,2745.28
Central,Widget A,97,30.9,2997.3
East,Gadget X,81,18.8,1522.8
South,Widget C,22,22.44,493.68
Central,Widget D,85,23.19,1971.15
Central,Widget C,56,46.71,2615.76
Central,Widget B,67,40.23,2695.41
East,Widget B,22,37.15,817.3
East,Widget B,66,27.18,1793.88
Central,Widget A,7,28.42,198.94
West,Widget D,65,25.73,1672.45
North,Widget B,53,39.24,2079.72
South,Gadget X,44,35.58,1565.52
East,Widget B,74,19.22,1422.28
North,Widget D,47,28.45,1337.15
East,Widget C,80,22.32,1785.6
South,Widget B,25,49.46,1236.5
South,Widget D,5,25.45,127.25
South,Widget C,48,32.59,1564.32
South,Gadget X,35,46.68,1633.8
East,Widget A,54,34.45,1860.3
South,Gadget X,57,48.03,2737.71
North,Widget B,40,35.26,1410.4
South,Widget C,41,33.62,1378.42
Central,Widget A,54,11.5,621.0
South,Widget A,21,40.31,846.51
South,Gadget X,78,16.47,1284.66
South,Widget D,45,41.87,1884.15
Central,Gadget X,21,30.77,646.17
South,Widget D,89,37.47,3334.83
South,Widget A,57,22.42,1277.94
South,Widget A,54,39.31,2122.74
Central,Widget B,23,36.55,840.65
Central,Widget B,64,23.97,1534.08
South,Widget D,93,21.94,2040.42
North,Widget B,48,39.71,1906.08
West,Gadget X,2,41.16,82.32
North,Widget A,12,20.23,242.76
East,Widget A,16,44.5,712.0
Central,Gadget X,17,11.5,195.5
Central,Widget C,89,44.08,3923.12
East,Widget A,63,29.7,1871.1
West,Gadget X,36,46.84,1686.24
North,Widget A,66,44.83,2958.78
South,Widget D,9,46.48,418.32
West,Widget A,17,24.86,422.62
West,Widget D,36,36.29,1306.44
South,Widget B,75,17.83,1337.25
West,Widget B,48,33.35,1600.8
South,Widget A,4,26.24,104.96
North,Widget B,37,21.6,799.2
Central,Gadget X,75,38.36,2877.0
North,Widget D,25,22.71,567.75
East,Widget B,84,46.81,3932.04
East,Widget D,1,47.34,47.34
West,Gadget X,50,31.25,1562.5
South,Widget D,42,40.41,1697.22
West,Gadget X,88,39.43,3469.84
North,Widget D,39,17.01,663.39
North,Widget D,54,37.69,2035.26
Central,Widget D,81,46.88,3797.28
South,Gadget X,42,27.83,1168.86
West,Widget B,57,12.11,690.27
North,Widget A,32,14.76,472.32
East,Widget A,78,34.37,2680.86
East,Widget A,60,25.89,1553.4
North,Widget D,24,44.45,1066.8
North,Widget C,50,13.71,685.5
Central,Gadget X,17,48.61,826.37
North,Gadget X,16,26.3,420.8
North,Gadget X,52,22.37,1163.24
North,Widget A,96,27.03,2594.88
East,Widget D,54,35.0,1890.0
South,Widget B,65,42.65,2772.25
South,Widget C,57,48.87,2785.59
East,Widget D,18,10.77,193.86
Central,Widget A,43,34.65,1489.95
South,Gadget X,59,39.54,2332.86
East,Gadget X,92,32.38,2978.96
West,Widget D,51,20.16,1028.16
North,Widget B,5,26.72,133.6
North,Widget B,77,34.35,2644.95
Central,Widget A,30,32.48,974.4
North,Widget D,82,15.28,1252.96
West,Widget A,27,16.35,441.45
West,Widget B,100,37.51,3751.0
Central,Widget A,52,13.7,712.4
East,Gadget X,49,33.79,1655.71
East,Widget D,49,31.27,1532.23
South,Gadget X,19,28.14,534.66
South,Gadget X,20,35.45,709.0
East,Widget D,36,27.85,1002.6
East,Widget D,65,28.46,1849.9
West,Widget A,36,38.08,1370.88
West,Widget B,83,19.63,1629.29
Central,Widget C,94,47.87,4499.78
North,Widget B,21,18.16,381.36
North,Widget A,58,43.82,2541.56
North,Widget B,7,17.9,125.3
South,Widget A,6,38.1,228.6
South,Widget C,5,39.97,199.85
Central,Widget B,92,20.63,1897.96
Central,Gadget X,39,23.09,900.51
Central,Widget B,87,12.54,1090.98
West,Widget B,78,29.47,2298.66
South,Widget D,84,22.47,1887.48
West,Widget A,45,38.24,1720.8
West,Widget D,8,18.12,144.96
South,Widget A,12,46.49,557.88
Central,Widget D,2,17.37,34.74
Central,Gadget X,17,24.19,411.23
East,Widget D,23,23.07,530.61
Central,Widget B,63,43.43,2736.09
East,Widget A,42,33.79,1419.18
North,Gadget X,92,41.98,3862.16
South,Widget C,79,17.51,1383.29
East,Gadget X,10,14.89,148.9
North,Widget A,100,16.66,1666.0
South,Gadget X,24,41.12,986.88
East,Gadget X,3,34.92,104.76
West,Widget B,69,18.16,1253.04
North,Widget A,54,16.73,903.42
Central,Widget C,72,28.68,2064.96
North,Widget B,9,22.86,205.74
Central,Widget B,46,26.51,1219.46
East,Widget D,59,47.64,2810.76
East,Widget A,9,10.86,97.74
Central,Widget C,29,15.42,447.18
West,Widget C,57,23.44,1336.08
South,Widget C,69,42.33,2920.77
Central,Widget D,86,42.0,3612.0
West,Widget B,100,19.82,1982.0
West,Widget D,44,18.77,825.88
North,Gadget X,18,37.97,683.46
Central,Widget C,94,20.64,1940.16
Central,Widget D,30,44.77,1343.1
East,Widget C,44,40.82,1796.08
West,Widget A,79,20.94,1654.26
South,Widget C,18,12.46,224.28
Central,Widget C,61,27.39,1670.79
East,Widget A,93,41.71,3879.03
West,Gadget X,69,21.83,1506.27
Central,Widget C,64,40.92,2618.88
East,Gadget X,95,14.37,1365.15
East,Gadget X,88,19.18,1687.84
South,Widget D,72,27.75,1998.0
North,Widget D,63,45.93,2893.59
South,Widget A,38,42.83,1627.54
Central,Widget B,20,34.56,691.2
East,Gadget X,24,45.65,1095.6
West,Widget D,75,47.13,3534.75
West,Widget A,14,15.3,214.2
Central,Widget D,41,37.0,1517.0
Central,Gadget X,67,21.09,1413.03
West,Widget D,96,46.51,4464.96
Central,Gadget X,17,28.08,477.36
West,Widget C,14,37.18,520.52
Central,Widget A,38,44.59,1694.42
North,Widget A,25,43.32,1083.0
Central,Widget C,82,26.39,2163.98
Central,Widget D,55,33.34,1833.7
Central,Gadget X,44,44.78,1970.32
South,Widget B,59,42.21,2490.39
East,Widget A,67,11.37,761.79
North,Widget D,57,34.01,1938.57
Central,Widget D,83,39.88,3310.04
North,Gadget X,72,16.36,1177.92
South,Gadget X,73,45.98,3356.54
East,Widget A,48,37.48,1799.04
Central,Widget C,27,25.66,692.82
South,Widget C,73,12.32,899.36
South,Widget A,10,44.85,448.5
Central,Widget B,37,36.64,1355.68
Central,Gadget X,46,24.39,1121.94
South,Widget D,92,13.33,1226.36
Central,Widget D,12,37.06,444.72
Central,Widget D,21,15.73,330.33
Central,Widget A,59,37.46,2210.14
West,Widget B,47,48.12,2261.64
South,Widget C,84,24.56,2063.04
East,Widget A,37,13.14,486.18
West,Widget A,65,32.22,2094.3
West,Widget D,98,48.77,4779.46
East,Widget C,16,24.76,396.16
West,Widget D,68,23.18,1576.24
South,Widget B,58,40.25,2334.5
South,Widget B,70,22.22,1555.4
South,Widget D,27,20.97,566.19
South,Widget D,10,16.18,161.8
Central,Widget A,56,41.56,2327.36
South,Widget D,93,24.68,2295.24
South,Gadget X,91,28.88,2628.08
East,Widget B,46,49.15,2260.9
Central,Widget B,43,40.7,1750.1
Central,Widget C,27,40.18,1084.86
East,Widget B,60,24.51,1470.6
East,Widget B,75,46.88,3516.0
North,Widget C,47,32.38,1521.86
South,Gadget X,45,38.79,1745.55
Central,Gadget X,44,36.27,1595.88
Central,Widget B,38,46.87,1781.06
South,Gadget X,91,28.48,2591.68
East,Widget A,63,40.97,2581.11
East,Widget A,18,13.77,247.86
North,Widget D,19,36.82,699.58
Central,Widget D,81,13.95,1129.95
Central,Widget D,83,41.75,3465.25
North,Widget B,1,41.0,41.0
East,Widget A,75,11.09,831.75
North,Widget D,36,10.75,387.0
West,Widget D,48,30.16,1447.68
South,Widget B,4,10.34,41.36
East,Widget C,61,18.73,1142.53
North,Widget A,42,14.51,609.42
West,Widget C,90,31.78,2860.2
North,Widget D,47,43.86,2061.42
South,Widget A,73,17.74,1295.02
South,Gadget X,94,26.43,2484.42
East,Widget C,59,10.49,618.91
North,Widget D,70,43.58,3050.6
Central,Widget C,29,29.21,847.09
North,Widget D,28,37.42,1047.76
Central,Gadget X,11,41.77,459.47
North,Widget A,27,23.84,643.68
North,Widget B,79,16.82,1328.78
East,Widget B,53,31.36,1662.08
Central,Widget C,7,42.66,298.62
West,Widget C,19,37.48,712.12
West,Widget C,78,12.38,965.64
West,Widget A,95,26.02,2471.9
Central,Widget A,33,47.72,1574.76
Central,Gadget X,43,47.95,2061.85
East,Widget C,48,31.77,1524.96
South,Widget C,84,24.17,2030.28
Central,Widget B,73,49.38,3604.74
Central,Widget D,31,48.42,1501.02
West,Widget B,87,37.68,3278.16
Central,Widget C,35,47.62,1666.7
North,Widget C,9,47.22,424.98
South,Widget C,46,27.42,1261.32
Central,Widget A,48,43.19,2073.12
Central,Widget C,59,18.41,1086.19
Central,Gadget X,90,36.15,3253.5
South,Widget A,44,23.71,1043.24
North,Widget C,37,31.26,1156.62
West,Widget A,6,26.06,156.36
South,Gadget X,92,42.85,3942.2
North,Widget A,94,25.61,2407.34
East,Widget B,79,29.81,2354.99
North,Widget B,20,12.91,258.2
West,Gadget X,78,18.82,1467.96
Central,Widget B,60,38.17,2290.2
Central,Widget C,2,30.53,61.06
East,Widget A,12,42.89,514.68
East,Widget D,79,11.46,905.34
West,Widget A,25,25.85,646.25
North,Gadget X,44,12.04,529.76
North,Widget D,54,21.33,1151.82
Central,Widget C,71,16.5,1171.5
East,Widget C,88,48.31,4251.28
East,Gadget X,37,25.21,932.77
East,Widget D,78,39.97,3117.66
South,Widget A,19,12.08,229.52
South,Gadget X,68,26.3,1788.4
West,Widget C,69,35.38,2441.22
East,Widget A,21,27.06,568.26
West,Widget C,84,15.77,1324.68
North,Gadget X,92,26.99,2483.08
Central,Widget B,33,21.18,698.94
West,Widget C,93,31.87,2963.91
West,Widget A,26,39.99,1039.74
East,Widget D,57,46.57,2654.49
Central,Widget A,67,12.37,828.79
West,Widget C,23,17.66,406.18
West,Widget B,30,46.96,1408.8
North,Gadget X,55,47.46,2610.3
Central,Gadget X,76,39.75,3021.0
North,Widget C,29,29.03,841.87
West,Widget B,58,45.08,2614.64
Central,Widget C,36,45.51,1638.36
South,Gadget X,50,41.3,2065.0
North,Widget D,21,42.71,896.91
East,Gadget X,68,21.97,1493.96
Central,Widget D,20,34.04,680.8
Central,Widget B,78,38.05,2967.9
South,Widget C,95,11.51,1093.45
East,Widget A,47,36.8,1729.6
South,Gadget X,59,38.33,2261.47
South,Gadget X,71,28.86,2049.06
West,Gadget X,29,39.96,1158.84
East,Widget D,48,44.34,2128.32
West,Gadget X,14,43.97,615.58
Central,Widget C,62,24.48,1517.76
South,Widget C,18,48.92,880.56
Central,Widget D,79,46.76,3694.04
East,Widget A,100,14.72,1472.0
East,Widget B,92,40.71,3745.32
East,Gadget X,89,19.13,1702.57
North,Widget B,75,24.19,1814.25
West,Widget C,78,12.09,943.02
North,Widget A,21,41.52,871.92
West,Widget B,47,40.63,1909.61
West,Widget D,22,31.05,683.1
Central,Widget B,27,22.25,600.75
East,Gadget X,74,10.45,773.3
West,Widget A,70,40.39,2827.3
Central,Widget B,48,44.64,2142.72
West,Widget C,24,11.39,273.36
West,Gadget X,49,39.3,1925.7
East,Gadget X,49,19.99,979.51
Central,Widget A,39,17.93,699.27
Central,Gadget X,56,12.3,688.8
North,Gadget X,22,12.35,271.7
West,Gadget X,30,45.55,1366.5
Central,Gadget X,28,45.65,1278.2
Central,Widget B,72,22.98,1654.56
West,Widget D,21,20.11,422.31
East,Widget D,74,16.33,1208.42
West,Gadget X,42,12.87,540.54
North,Widget B,37,41.65,1541.05
North,Widget C,19,48.35,918.65
Central,Widget A,23,39.88,917.24
Central,Widget B,63,32.68,2058.84
West,Widget D,4,15.94,63.76
North,Widget B,97,25.79,2501.63
East,Widget A,40,16.2,648.0
East,Widget B,52,24.56,1277.12
North,Gadget X,74,29.59,2189.66
North,Widget C,50,35.64,1782.0
East,Widget D,69,33.17,2288.73
South,Widget D,92,36.08,3319.36
Central,Widget A,31,14.14,438.34
North,Widget A,84,35.82,3008.88
North,Widget D,60,19.76,1185.6
West,Gadget X,1,34.02,34.02
East,Gadget X,81,28.61,2317.41
South,Widget D,82,46.54,3816.28
East,Widget C,65,26.43,1717.95
North,Widget B,89,21.22,1888.58
North,Widget B,80,13.4,1072.0
West,Gadget X,42,40.24,1690.08
South,Widget C,13,17.41,226.33
North,Widget A,72,30.87,2222.64
West,Gadget X,16,49.5,792.0
East,Widget B,37,29.45,1089.65
East,Widget C,6,49.1,294.6
East,Widget A,39,21.34,832.26
Central,Widget C,23,18.68,429.64
East,Gadget X,62,48.8,3025.6
North,Widget D,88,38.53,3390.64
South,Widget C,21,20.2,424.2
South,Widget C,23,16.24,373.52
North,Widget C,12,36.53,438.36
West,Widget C,65,15.03,976.95
South,Gadget X,5,20.61,103.05
East,Widget D,34,45.84,1558.56
West,Gadget X,53,20.0,1060.0
East,Widget B,19,44.5,845.5
East,Widget A,95,45.91,4361.45
Central,Widget B,57,38.73,2207.61
East,Gadget X,92,32.82,3019.44
Central,Gadget X,92,37.71,3469.32
Central,Widget A,85,42.65,3625.25
North,Widget C,45,42.3,1903.5
North,Widget B,60,20.87,1252.2
East,Widget C,11,46.05,506.55
South,Widget C,35,26.76,936.6
South,Widget B,21,34.36,721.56
South,Widget C,1,15.95,15.95
East,Gadget X,52,13.65,709.8
East,Widget A,33,20.86,688.38
West,Widget D,24,47.49,1139.76
South,Widget A,100,12.18,1218.0
East,Widget B,27,10.37,279.99
Central,Widget A,93,29.52,2745.36
North,Widget D,2,46.52,93.04
West,Widget D,70,33.13,2319.1
South,Gadget X,63,10.94,689.22
West,Gadget X,1,27.97,27.97
